태풍번호,태풍명,영문명,진행여부,영향도,발생,소멸,비고
12,남테운,NAMTHEUN,종료,없음,2016.09.01 09:00,2016.09.05 06:00,제12호 태풍 남테운(NAMTHEUN)은 라오스에서 제출한 이름으로 강 이름임.
13,말로,MALOU,종료,없음,2016.09.06 09:00,2016.09.08 03:00,제13호 태풍 말로(MALOU)는 마카오에서 제출한 이름으로 보석의 일종임.
14,므란티,MERANTI,종료,없음,2016.09.10 15:00,2016.09.15 15:00,제14호 태풍 므란티(MERANTI)는 말레이시아에서 제출한 이름으로 나무의 한 종류임.
15,라이,RAI,종료,없음,2016.09.13 03:00,2016.09.13 15:00,제15호 태풍 라이(RAI)는 미크로네시아에서 제출한 이름으로 돌로 만든 화폐를 의미함.
16,말라카스,MALAKAS,종료,직접영향,2016.09.13 03:00,2016.09.20 18:00,제16호 태풍 말라카스(MALAKAS)는 필리핀에서 제출한 이름으로 강력함을 의미함.
17,메기,MEGI,종료,없음,2016.09.23 09:00,2016.09.28 21:00,제17호 태풍 메기(MEGI)는 한국에서 제출한 이름으로 물고기의 한 종류임.
18,차바,CHABA,종료,상륙,2016.09.28 03:00,2016.10.06 00:00,제18호 태풍 차바(CHABA)는 태국에서 제출한 이름으로 꽃의 한 종류임.
19,에어리,AERE,종료,없음,2016.10.06 03:00,2016.10.10 09:00,제19호 태풍 에어리(AERE)는 미국에서 제출한 이름으로 폭풍을 의미함.
20,송다,SONGDA,종료,없음,2016.10.08 21:00,2016.10.13 09:00,제20호 태풍 송다(SONGDA)는 베트남에서 제출한 이름으로 강의 이름임.
21,사리카,SARIKA,종료,없음,2016.10.13 21:00,2016.10.19 21:00,제21호 태풍 사리카(SARIKA)는 캄보디아에서 제출한 이름으로 새를 의미함.
22,하이마,HAIMA,종료,없음,2016.10.15 09:00,2016.10.22 06:00,제22호 태풍 하이마(HAIMA)는 중국에서 제출한 이름으로 해마를 의미함.
23,메아리,MEARI,종료,없음,2016.11.03 09:00,2016.11.07 21:00,제23호 태풍 메아리(MEARI)는 북한에서 제출한 이름으로 메아리를 의미함.
24,망온,MA-ON,종료,없음,2016.11.10 15:00,2016.11.12 15:00,제24호 태풍 망온(MA-ON)은 홍콩에서 제출한 이름으로 말안장을 의미함.
25,도카게,TOKAGE,종료,없음,2016.11.25 09:00,2016.11.28 09:00,제25호 태풍 도카게(TOKAGE)는 일본에서 제출한 이름으로 도마뱀자리(별자리)를 의미함.
26,녹텐,NOCK-TEN,종료,없음,2016.12.22 03:00,2016.12.28 03:00,제26호 태풍 녹텐(NOCK-TEN)은 라오스에서 제출한 이름으로 새를 의미함.
1,무이파,MUIFA,종료,없음,2017.04.26 09:00,2017.04.28 00:00,제1호 태풍 무이파(MUIFA)는 마카오에서 제출한 이름으로 매화를 의미함.
2,므르복,MERBOK,종료,없음,2017.06.11 15:00,2017.06.13 15:00,제2호 태풍 므르복(MERBOK)은 말레이시아에서 제출한 이름으로 점박이목 비둘기를 의미함.
3,난마돌,NANMADOL,종료,직접영향,2017.07.02 09:00,2017.07.05 03:00,제3호 태풍 난마돌(NANMADOL)은 미크로네시아에서 제출한 이름으로 유명한 유적지의 이름임.
4,탈라스,TALAS,종료,없음,2017.07.15 15:00,2017.07.17 18:00,제4호 태풍 탈라스(TALAS)는 필리핀에서 제출한 이름으로 날카로움을 의미함.
5,노루,NORU,종료,직접영향,2017.07.21 09:00,2017.08.08 15:00,제5호 태풍 노루(NORU)는 한국에서 제출한 이름으로 사슴과에 속하는 동물임.
6,꿀랍,KULAP,종료,없음,2017.07.21 15:00,2017.07.25 21:00,제6호 태풍 꿀랍(KULAP)은 태국에서 제출한 이름으로 장미를 의미함.
7,로키,ROKE,종료,없음,2017.07.22 15:00,2017.07.23 15:00,제7호 태풍 로키(ROKE)는 미국에서 제출한 이름으로 남자 이름임.
8,선까,SONCA,종료,없음,2017.07.23 15:00,2017.07.26 03:00,제8호 태풍 선까(SONCA)는 베트남에서 제출한 이름으로 새의 한 종류임.
9,네삿,NESAT,종료,없음,2017.07.26 15:00,2017.07.30 21:00,제9호 태풍 네삿(NESAT)은 캄보디아에서 제출한 이름으로 낚시를 의미함.
10,하이탕,HAITANG,종료,없음,2017.07.29 15:00,2017.07.31 15:00,제10호 태풍 하이탕(HAITANG)은 중국에서 제출한 이름으로 해당화를 의미함.
11,날개,NALGAE,종료,없음,2017.08.02 09:00,2017.08.06 09:00,제11호 태풍 날개(NALGAE)는 북한에서 제출한 이름으로 날개를 의미함.
12,바냔,BANYAN,종료,없음,2017.08.11 21:00,2017.08.17 15:00,제12호 태풍 바냔(BANYAN)은 홍콩에서 제출한 이름으로 나무의 한 종류임.
13,하토,HATO,종료,없음,2017.08.20 15:00,2017.08.24 15:00,제13호 태풍 하토(HATO)는 일본에서 제출한 이름으로 비둘기자리(별자리)를 의미함.
14,파카르,PAKHAR,종료,없음,2017.08.25 03:00,2017.08.27 21:00,제14호 태풍 파카르(PAKHAR)는 라오스에서 제출한 이름으로 메콩강에 서식하는 민물고기 중 하나임.
15,상우,SANVU,종료,없음,2017.08.28 15:00,2017.09.03 21:00,제15호 태풍 상우(SANVU)는 마카오에서 제출한 이름으로 산호를 의미함.
16,마와르,MAWAR,종료,없음,2017.09.01 03:00,2017.09.04 03:00,제16호 태풍 마와르(MAWAR)는 말레이시아에서 제출한 이름으로 장미를 의미함.
17,구촐,GUCHOL,종료,없음,2017.09.06 09:00,2017.09.07 00:00,제17호 태풍 구촐(GUCHOL)은 미크로네시아에서 제출한 이름으로 향신료를 의미함.
18,탈림,TALIM,종료,직접영향,2017.09.09 21:00,2017.09.18 09:00,제18호 태풍 탈림(TALIM)은 필리핀에서 제출한 이름으로 가장자리를 의미함.
19,독수리,DOKSURI,종료,없음,2017.09.12 21:00,2017.09.16 09:00,제19호 태풍 독수리(DOKSURI)는 한국에서 제출한 이름으로 새(맹금류)의 한 종류임.
20,카눈,KHANUN,종료,없음,2017.10.12 21:00,2017.10.16 15:00,제20호 태풍 카눈(KHANUN)은 태국에서 제출한 이름으로 열대과일의 하나임.
21,란,LAN,종료,없음,2017.10.16 03:00,2017.10.23 09:00,제21호 태풍 란(LAN)은 미국에서 제출한 이름(마셜군도 원주민어)으로 스톰을 의미함.
22,사올라,SAOLA,종료,없음,2017.10.24 15:00,2017.10.29 21:00,제22호 태풍 사올라(SAOLA)는 베트남에서 제출한 이름으로 베트남에서 발견되는 소과의 희귀동물임.
23,담레이,DAMREY,종료,없음,2017.11.02 09:00,2017.11.04 21:00,제23호 태풍 담레이(DAMREY)는 캄보디아에서 제출한 이름으로 코끼리를 의미함.
24,하이쿠이,HAIKUI,종료,없음,2017.11.10 03:00,2017.11.12 15:00,제24호 태풍 하이쿠이(HAIKUI)는 중국에서 제출한 이름으로 말미잘을 의미함.
25,기러기,KIROGI,종료,없음,2017.11.18 09:00,2017.11.19 03:00,제25호 태풍 기러기(KIROGI)는 북한에서 제출한 이름임.
26,카이탁,KAI-TAK,종료,없음,2017.12.14 09:00,2017.12.22 09:00,제26호 태풍 카이탁(KAI-TAK)은 홍콩에서 제출한 이름으로 옛 공항의 이름임.
27,덴빈,TEMBIN,종료,없음,2017.12.21 03:00,2017.12.26 15:00,제27호 태풍 덴빈(TEMBIN)은 일본에서 제출한 이름으로 천칭자리(별자리)를 의미함.
1,볼라벤,BOLAVEN,종료,없음,2018.01.03 09:00,2018.01.04 09:00,제1호 태풍 볼라벤(BOLAVEN)은 라오스에서 제출한 이름으로 고원의 이름임.
2,산바,SANBA,종료,없음,2018.02.11 15:00,2018.02.15 09:00,제2호 태풍 산바(SANBA)는 마카오에서 제출한 이름으로 지명임.
3,즐라왓,JELAWAT,종료,없음,2018.03.25 15:00,2018.04.02 03:00,제3호 태풍 즐라왓(JELAWAT)은 말레이시아에서 제출한 이름으로 잉어과의 물고기임.
4,에위니아,EWINIAR,종료,없음,2018.06.06 09:00,2018.06.08 15:00,미크로네시아에서 제출한 이름으로 폭풍의 신을 의미함
5,말릭시,MALIKSI,종료,없음,2018.06.08 03:00,2018.06.12 03:00,제5호 태풍 말릭시(MALIKSI)는 필리핀에서 제출한 이름으로 빠름을 의미함.
6,개미,GAEMI,종료,없음,2018.06.15 09:00,2018.06.17 09:00,제6호 태풍 개미(GAEMI)는 한국에서 제출한 이름으로 개미를 의미함
7,쁘라삐룬,PRAPIROON,종료,직접영향,2018.06.29 09:00,2018.07.04 18:00,제7호 태풍 쁘라삐룬(PRAPIROON)은 태국에서 제출한 이름으로 비의 신을 의미함.
8,마리아,MARIA,종료,없음,2018.07.04 21:00,2018.07.12 03:00,제8호 태풍 마리아(MARIA)는 미국에서 제출한 이름으로 여자의 이름임.
9,손띤,SON-TINH,종료,없음,2018.07.17 09:00,2018.07.19 09:00,제9호 태풍 손띤(SON-TINH)은 베트남에서 제출한 이름으로 신화속의 산신 이름임.
10,암필,AMPIL,종료,없음,2018.07.18 21:00,2018.07.24 03:00,제10호 태풍 암필(AMPIL)은 캄보디아에서 제출한 이름으로 타마린드(콩과의 상록 교목)를 의미함.
11,우쿵,WUKONG,종료,없음,2018.07.23 21:00,2018.07.27 03:00,제11호 태풍 우쿵(WUKONG)은 중국에서 제출한 이름으로 손오공을 의미함.
12,종다리,JONGDARI,종료,없음,2018.07.25 03:00,2018.07.29 15:00,제12호 태풍 종다리(JONGDARI)는 북한에서 제출한 이름으로 종다리를 의미함.
13,산산,SHANSHAN,종료,없음,2018.08.03 09:00,2018.08.10 15:00,제13호 태풍 산산(SHANSHAN)은 홍콩에서 제출한 이름으로 소녀의 애칭임.
14,야기,YAGI,종료,없음,2018.08.08 15:00,2018.08.13 15:00,제14호 태풍 야기(YAGI)는 일본에서 제출한 이름으로 염소자리(별자리)를 의미함.
15,리피,LEEPI,종료,없음,2018.08.12 03:00,2018.08.15 09:00,제15호 태풍 리피(LEEPI)는 라오스에서 제출한 이름으로 폭포의 이름임.
16,버빙카,BEBINCA,종료,없음,2018.08.13 09:00,2018.08.17 15:00,제16호 태풍 버빙카(BEBINCA)는 마카오에서 제출한 이름으로 우유 푸딩을 의미함.
17,헥터,HECTOR,종료,없음,2018.08.14 03:00,2018.08.15 09:00,제17호 태풍 헥터(HECTOR)는 중앙태평양의 열대폭풍이 이동한 것으로 남자 이름임.
18,룸비아,RUMBIA,종료,직접영향,2018.08.15 15:00,2018.08.18 09:00,제18호 태풍 룸비아(RUMBIA)는 말레이시아에서 제출한 이름으로 야자수의 한 종류임.
19,솔릭,SOULIK,종료,상륙,2018.08.16 09:00,2018.08.25 03:00,제19호 태풍 솔릭(SOULIK)은 미크로네시아에서 제출한 이름으로 전설속의 족장을 칭함.
20,시마론,CIMARON,종료,없음,2018.08.18 21:00,2018.08.24 21:00,제20호 태풍 시마론(CIMARON)은 필리핀에서 제출한 이름으로 야생 황소를 의미함.
21,제비,JEBI,종료,없음,2018.08.28 09:00,2018.09.05 09:00,제21호 태풍 제비(JEBI)는 한국에서 제출한 이름으로 제비를 의미함.
22,망쿳,MANGKHUT,종료,없음,2018.09.07 21:00,2018.09.17 15:00,제22호 태풍 망쿳(MANGKHUT)은 태국에서 제출한 이름으로 열대과일의 하나임.
23,바리자트,BARIJAT,종료,없음,2018.09.11 09:00,2018.09.13 15:00,제23호 태풍 바리자트(BARIJAT)는 미국에서 제출한 이름으로 해안지역(마셜군도 원주민어)을 의미함.
24,짜미,TRAMI,종료,직접영향,2018.09.21 21:00,2018.10.01 15:00,제24호 태풍 짜미(TRAMI)는 베트남에서 제출한 이름으로 장미과에 속하는 나무를 의미함.
25,콩레이,KONG-REY,종료,상륙,2018.09.29 15:00,2018.10.07 09:00,제25호 태풍 콩레이(KONG-REY)는 캄보디아에서 제출한 이름으로 산의 이름임.
26,위투,YUTU,종료,없음,2018.10.22 03:00,2018.11.02 09:00,제26호 태풍 위투(YUTU)는 중국에서 제출한 이름으로 전설 속 옥토끼를 의미함.
27,도라지,TORAJI,종료,없음,2018.11.17 18:00,2018.11.18 15:00,제27호 태풍 도라지(TORAJI)는 북한에서 제출한 이름으로 도라지를 의미함.
28,마니,MAN-YI,종료,없음,2018.11.20 21:00,2018.11.26 21:00,제28호 태풍 마니(MAN-YI)는 홍콩에서 제출한 이름으로 해협의 이름임.
29,우사기,USAGI,종료,없음,2018.11.22 21:00,2018.11.26 03:00,제29호 태풍 우사기(USAGI)는 일본에서 제출한 이름으로 토끼자리(별자리)를 의미함.
1,파북,PABUK,종료,없음,2019.01.01 15:00,2019.01.04 21:00,제1호 태풍 파북(PABUK)은 라오스에서 제출한 이름으로 메콩강에 서식하는 민물고기 중 하나임.
2,우딥,WUTIP,종료,없음,2019.02.20 03:00,2019.02.28 15:00,제2호 태풍 우딥(WUTIP)은 마카오에서 제출한 이름으로 나비를 의미함.
3,스팟,SEPAT,종료,없음,2019.06.27 18:00,2019.06.28 15:00,제3호 태풍 스팟(SEPAT)은 말레이시아에서 제출한 이름으로 농어과의 민물고기임.
4,문,MUN,종료,없음,2019.07.02 21:00,2019.07.04 15:00,제4호 태풍 문(MUN)은 미크로네시아에서 제출한 이름으로 (야프어)6월을 의미함.
5,다나스,DANAS,종료,직접영향,2019.07.16 15:00,2019.07.20 12:00,제5호 태풍 다나스(DANAS)는 필리핀에서 제출한 이름으로 경험을 의미함.
6,나리,NARI,종료,없음,2019.07.26 09:00,2019.07.27 09:00,제6호 태풍 나리(NARI)는 한국에서 제출한 이름으로 꽃의 종류인 나리를 의미함.
7,위파,WIPHA,종료,없음,2019.07.31 09:00,2019.08.03 21:00,제7호 태풍 위파(WIPHA)는 태국에서 제출한 이름으로 숙녀의 이름임.
8,프란시스코,FRANCISCO,종료,상륙,2019.08.02 09:00,2019.08.06 21:00,제8호 태풍 프란시스코(FRANCISCO)는 미국에서 제출한 이름으로 남자 이름임.
9,레끼마,LEKIMA,종료,직접영향,2019.08.04 15:00,2019.08.12 21:00,제9호 태풍 레끼마(LEKIMA)는 베트남에서 제출한 이름으로 과일나무의 하나임.
10,크로사,KROSA,종료,직접영향,2019.08.06 15:00,2019.08.16 21:00,제10호 태풍 크로사(KROSA)는 캄보디아에서 제출한 이름으로 학을 의미함.
11,바이루,BAILU,종료,없음,2019.08.21 15:00,2019.08.25 15:00,제11호 태풍 바이루(BAILU)는 중국에서 제출한 이름으로 하얀사슴을 의미함.
12,버들,PODUL,종료,없음,2019.08.27 09:00,2019.08.30 09:00,제12호 태풍 버들(PODUL)은 북한에서 제출한 이름으로 버드나무를 의미함.
13,링링,LINGLING,종료,직접영향,2019.09.02 09:00,2019.09.08 09:00,제13호 태풍 링링(LINGLING)은 홍콩에서 제출한 이름으로 소녀의 애칭임.
14,가지키,KAJIKI,종료,없음,2019.09.03 03:00,2019.09.03 21:00,제14호 태풍 가지키(KAJIKI)는 일본에서 제출한 이름으로 황새치자리(별자리)를 의미함.
15,파사이,FAXAI,종료,없음,2019.09.05 15:00,2019.09.10 15:00,제15호 태풍 파사이(FAXAI)는 라오스에서 제출한 이름으로 숙녀의 이름임.
16,페이파,PEIPAH,종료,없음,2019.09.15 21:00,2019.09.16 21:00,제16호 태풍 페이파(PEIPAH)는 마카오에서 제출한 이름으로 애완용 물고기의 하나임.
17,타파,TAPAH,종료,직접영향,2019.09.19 15:00,2019.09.23 09:00,제17호 태풍 타파(TAPAH)는 말레이시아에서 제출한 이름으로 메기과의 민물고기임.
18,미탁,MITAG,종료,상륙,2019.09.28 09:00,2019.10.03 12:00,제18호 태풍 미탁(MITAG)은 미크로네시아에서 제출한 이름으로 여성의 이름임.
19,하기비스,HAGIBIS,종료,없음,2019.10.06 03:00,2019.10.13 09:00,제19호 태풍 하기비스(HAGIBIS)는 필리핀에서 제출한 이름으로 빠름을 의미함.
20,너구리,NEOGURI,종료,없음,2019.10.18 03:00,2019.10.21 18:00,제20호 태풍 너구리(NEOGURI)는 한국에서 제출한 이름으로 동물 너구리를 의미함.
21,부알로이,BUALOI,종료,없음,2019.10.19 21:00,2019.10.25 21:00,제21호 태풍 부알로이(BUALOI)는 태국에서 제출한 이름으로 태국의 디저트 종류.
22,마트모,MATMO,종료,없음,2019.10.30 03:00,2019.10.31 12:00,제22호 태풍 마트모(MATMO)는 미국에서 제출한 이름으로 폭우를 의미함.
23,할롱,HALONG,종료,없음,2019.11.03 03:00,2019.11.09 12:00,제23호 태풍 할롱(HALONG)은 베트남에서 제출한 이름으로 명소의 이름임.
24,나크리,NAKRI,종료,없음,2019.11.05 21:00,2019.11.11 09:00,제24호 태풍 나크리(NAKRI)는 캄보디아에서 제출한 이름으로 꽃의 한 종류임.
25,펑선,FENGSHEN,종료,없음,2019.11.12 15:00,2019.11.17 15:00,제25호 태풍 펑선(FENGSHEN)은 중국에서 제출한 이름으로 바람의 신을 의미함.
26,갈매기,KALMAEGI,종료,없음,2019.11.13 09:00,2019.11.20 09:00,제26호 태풍 갈매기(KALMAEGI)는 북한에서 제출한 이름으로 갈매기를 의미함.
27,풍웡,FUNG-WONG,종료,없음,2019.11.20 09:00,2019.11.23 03:00,제27호 태풍 풍웡(FUNG-WONG)은 홍콩에서 제출한 이름으로 봉황을 의미함.
28,간무리,KAMMURI,종료,없음,2019.11.26 09:00,2019.12.06 03:00,제28호 태풍 간무리(KAMMURI)는 일본에서 제출한 이름으로 왕관자리(별자리)를 의미함.
29,판폰,PHANFONE,종료,없음,2019.12.22 09:00,2019.12.28 15:00,제29호 태풍 판폰(PHANFONE)은 라오스에서 제출한 이름으로 동물을 의미함.
1,봉퐁,VONGFONG,종료,없음,2020.05.12 21:00,2020.05.17 03:00,제1호 태풍 봉퐁(VONGFONG)은 마카오에서 제출한 이름으로 말벌을 의미함.
2,누리,NURI,종료,없음,2020.06.12 21:00,2020.06.14 09:00,제2호 태풍 누리(NURI)는 말레이시아에서 제출한 이름으로 청색 벼슬을 가진 잉꼬새를 의미함.
3,실라코,SINLAKU,종료,없음,2020.08.01 15:00,2020.08.02 21:00,제3호 태풍 실라코(SINLAKU)는 미크로네시아에서 제출한 이름으로 전설속의 여신을 의미함.
4,하구핏,HAGUPIT,종료,없음,2020.08.01 21:00,2020.08.05 03:00,제4호 태풍 하구핏(HAGUPIT)은 필리핀에서 제출한 이름으로 채찍질을 의미함.
5,장미,JANGMI,종료,상륙,2020.08.09 03:00,2020.08.10 17:00,제5호 태풍 장미(JANGMI)는 한국에서 제출한 이름임.
6,메칼라,MEKKHALA,종료,없음,2020.08.10 15:00,2020.08.11 15:00,제6호 태풍 메칼라(MEKKHALA)는 태국에서 제출한 이름으로 천둥의 천사를 의미함.
7,히고스,HIGOS,종료,없음,2020.08.18 09:00,2020.08.20 03:00,제7호 태풍 히고스(HIGOS)는 미국에서 제출한 이름으로 무화과를 의미함.
8,바비,BAVI,종료,직접영향,2020.08.22 09:00,2020.08.27 15:00,제8호 태풍 바비(BAVI)는 베트남에서 제출한 이름으로 산맥의 이름임.
9,마이삭,MAYSAK,종료,상륙,2020.08.28 15:00,2020.09.03 12:00,제9호 태풍 마이삭(MAYSAK)은 캄보디아에서 제출한 이름으로 나무의 한 종류임.
10,하이선,HAISHEN,종료,상륙,2020.09.01 21:00,2020.09.07 21:00,제10호 태풍 하이선(HAISHEN)은 중국에서 제출한 이름으로 바다의 신을 의미함.
11,노을,NOUL,종료,없음,2020.09.16 03:00,2020.09.18 21:00,제11호 태풍 노을(NOUL)은 북한에서 제출한 이름으로 노을을 의미함.
12,돌핀,DOLPHIN,종료,없음,2020.09.21 15:00,2020.09.24 18:00,제12호 태풍 돌핀(DOLPHIN)은 홍콩에서 제출한 이름으로 돌고래를 의미함.
13,구지라,KUJIRA,종료,없음,2020.09.27 09:00,2020.09.30 15:00,제13호 태풍 구지라(KUJIRA)는 일본에서 제출한 이름으로 고래자리(별자리)를 의미함.
14,찬홈,CHAN-HOM,종료,없음,2020.10.05 09:00,2020.10.11 21:00,제14호 태풍 찬홈(CHAN-HOM)은 라오스에서 제출한 이름으로 나무의 한 종류임.
15,린파,LINFA,종료,없음,2020.10.11 03:00,2020.10.11 21:00,제15호 태풍 린파(LINFA)는 마카오에서 제출한 이름으로 연꽃을 의미함.
16,낭카,NANGKA,종료,없음,2020.10.12 15:00,2020.10.14 21:00,제16호 태풍 낭카(NANGKA)는 말레이시아에서 제출한 이름으로 열대과일의 하나임.
17,사우델,SAUDEL,종료,없음,2020.10.20 09:00,2020.10.26 03:00,제17호 태풍 사우델(SAUDEL)은 미크로네시아에서 제출한 이름으로 전설 속 추장의 호위병을 의미함.
18,몰라베,MOLAVE,종료,없음,2020.10.25 03:00,2020.10.29 03:00,제18호 태풍 몰라베(MOLAVE)는 필리핀에서 제출한 이름으로 가구 제작용 나무를 의미함.
19,고니,GONI,종료,없음,2020.10.29 03:00,2020.11.05 21:00,제19호 태풍 고니(GONI)는 한국에서 제출한 이름으로 고니를 의미함.
20,앗사니,ATSANI,종료,없음,2020.10.29 21:00,2020.11.07 15:00,제20호 태풍 앗사니(ATSANI)는 태국에서 제출한 이름으로 번개를 의미함.
21,아타우,ETAU,종료,없음,2020.11.09 03:00,2020.11.10 21:00,제21호 태풍 아타우(ETAU)는 미국에서 제출한 이름으로 폭풍 구름을 의미함.
22,밤꼬,VAMCO,종료,없음,2020.11.09 15:00,2020.11.15 21:00,제22호 태풍 밤꼬(VAMCO)는 베트남에서 제출한 이름으로 강의 이름임.
23,크로반,KROVANH,종료,없음,2020.12.20 15:00,2020.12.21 09:00,제23호 태풍 크로반(KROVANH)은 캄보디아에서 제출한 이름으로 나무의 한 종류임.
1,두쥐안,DUJUAN,종료,없음,2021.02.18 15:00,2021.02.22 09:00,제1호 태풍 두쥐안(DUJUAN)은 중국에서 제출한 이름으로 진달래를 의미함.
2,수리개,SURIGAE,종료,없음,2021.04.14 03:00,2021.04.25 09:00,제2호 태풍 수리개(SURIGAE)는 북한에서 제출한 이름으로 솔개를 의미함.
3,초이완,CHOI-WAN,종료,없음,2021.05.31 09:00,2021.06.03 09:00,제3호 태풍 초이완(CHOI-WAN)은 홍콩에서 제출한 이름으로 채운(색깔있는 구름)을 의미함.
4,고구마,KOGUMA,종료,없음,2021.06.12 15:00,2021.06.13 15:00,제4호 태풍 고구마(KOGUMA)는 일본에서 제출한 이름으로 작은곰자리(별자리)를 의미함.
5,참피,CHAMPI,종료,없음,2021.06.23 09:00,2021.06.27 21:00,제5호 태풍 참피(CHAMPI)는 라오스에서 제출한 이름으로 꽃의 한 종류임.
6,인파,IN-FA,종료,없음,2021.07.18 03:00,2021.07.28 03:00,제6호 태풍 인파(IN-FA)는 마카오에서 제출한 이름으로 불꽃놀이를 의미함.
7,츰파카,CEMPAKA,종료,없음,2021.07.19 12:00,2021.07.21 15:00,제7호 태풍 츰파카(CEMPAKA)는 말레이시아에서 제출한 이름으로 향기로운 꽃으로 유명한 식물임.
8,네파탁,NEPARTAK,종료,없음,2021.07.23 21:00,2021.07.28 15:00,제8호 태풍 네파탁(NEPARTAK)은 미크로네시아에서 제출한 이름으로 유명한 전사의 이름임.
9,루핏,LUPIT,종료,직접영향,2021.08.04 09:00,2021.08.09 09:00,제9호 태풍 루핏(LUPIT)은 필리핀에서 제출한 이름으로 잔인함을 의미함.
10,미리내,MIRINAE,종료,없음,2021.08.05 15:00,2021.08.10 03:00,제10호 태풍 미리내(MIRINAE)는 한국에서 제출한 이름으로 은하수를 의미함.
11,니다,NIDA,종료,없음,2021.08.05 15:00,2021.08.08 15:00,제11호 태풍 니다(NIDA)는 태국에서 제출한 이름으로 숙녀의 이름임.
12,오마이스,OMAIS,종료,상륙,2021.08.20 21:00,2021.08.24 06:00,제12호 태풍 오마이스(OMAIS)는 미국에서 제출한 이름으로 주위를 어슬렁거리는을 의미함.
13,꼰선,CONSON,종료,없음,2021.09.06 15:00,2021.09.12 03:00,제13호 태풍 꼰선(CONSON)은 베트남에서 제출한 이름으로 역사적인 지명의 이름임.
14,찬투,CHANTHU,종료,직접영향,2021.09.07 09:00,2021.09.18 09:00,제14호 태풍 찬투(CHANTHU)는 캄보디아에서 제출한 이름으로 꽃의 한 종류임.
15,뎬무,DIANMU,종료,없음,2021.09.23 15:00,2021.09.24 09:00,제15호 태풍 뎬무(DIANMU)는 중국에서 제출한 이름으로 번개를 관장하는 여신을 의미함.
16,민들레,MINDULLE,종료,없음,2021.09.23 21:00,2021.10.02 12:00,제16호 태풍 민들레(MINDULLE)는 북한에서 제출한 이름으로 민들레를 의미함.
17,라이언록,LIONROCK,종료,없음,2021.10.08 03:00,2021.10.10 21:00,제17호 태풍 라이언록(LIONROCK)은 홍콩에서 제출한 이름으로 봉우리의 이름임.
18,곤파스,KOMPASU,종료,없음,2021.10.08 15:00,2021.10.14 21:00,제18호 태풍 곤파스(KOMPASU)는 일본에서 제출한 이름으로 컴퍼스자리(별자리)를 의미함.
19,남테운,NAMTHEUN,종료,없음,2021.10.10 09:00,2021.10.14 09:00,제19호 태풍 남테운(NAMTHEUN)은 라오스에서 제출한 이름으로 강의 이름임.
20,말로,MALOU,종료,없음,2021.10.25 09:00,2021.10.29 21:00,제20호 태풍 말로(MALOU)는 마카오에서 제출한 이름으로 보석의 일종임.
21,냐토,NYATOH,종료,없음,2021.11.30 09:00,2021.12.04 09:00,제21호 태풍 냐토(NYATOH)는 말레이시아에서 제출한 이름으로 동남아시아 열대우림에서 나는 목재의 한 종류임.
22,라이,RAI,종료,없음,2021.12.13 15:00,2021.12.21 03:00,제22호 태풍 라이(RAI)는 미크로네시아에서 제출한 이름으로 돌로 만든 화폐를 의미함.
1,말라카스,MALAKAS,종료,없음,2022.04.08 09:00,2022.04.16 03:00,제1호 태풍 말라카스(MALAKAS)는 필리핀에서 제출한 이름으로 강력함을 의미함.
2,메기,MEGI,종료,없음,2022.04.10 09:00,2022.04.12 09:00,제2호 태풍 메기(MEGI)는 한국에서 제출한 이름으로 메기를 의미함.
3,차바,CHABA,종료,없음,2022.06.30 09:00,2022.07.03 15:00,제3호 태풍 차바(CHABA)는 태국에서 제출한 이름으로 꽃의 한 종류임.
4,에어리,AERE,종료,직접영향,2022.07.01 09:00,2022.07.05 03:00,제4호 태풍 에어리(AERE)는 미국에서 제출한 이름으로 폭풍을 의미함.
5,송다,SONGDA,종료,직접영향,2022.07.28 21:00,2022.08.01 03:00,제5호 태풍 송다(SONGDA)는 베트남에서 제출한 이름으로 강의 이름임.
6,트라세,TRASES,종료,직접영향,2022.07.31 12:00,2022.08.01 09:00,제6호 태풍 트라세(TRASES)는 캄보디아에서 제출한 이름으로 딱따구리를 의미함.
7,무란,MULAN,종료,없음,2022.08.09 15:00,2022.08.11 09:00,제7호 태풍 무란(MULAN)은 중국에서 제출한 이름으로 목란을 의미함.
8,메아리,MEARI,종료,없음,2022.08.12 03:00,2022.08.14 21:00,제8호 태풍 메아리(MEARI)는 북한에서 제출한 이름으로 메아리를 의미함.
9,망온,MA-ON,종료,없음,2022.08.22 12:00,2022.08.26 03:00,제9호 태풍 망온(MA-ON)은 홍콩에서 제출한 이름으로 말안장을 의미함.
10,도카게,TOKAGE,종료,없음,2022.08.22 12:00,2022.08.25 21:00,제10호 태풍 도카게(TOKAGE)는 일본에서 제출한 이름으로 도마뱀자리(별자리)를 의미함.
11,힌남노,HINNAMNOR,종료,상륙,2022.08.28 21:00,2022.09.06 21:00,제11호 태풍 힌남노(HINNAMNOR)는 라오스에서 제출한 이름으로 국립보호구역의 이름임.
12,무이파,MUIFA,종료,없음,2022.09.08 09:00,2022.09.16 09:00,제12호 태풍 무이파(MUIFA)는 마카오에서 제출한 이름으로 매화를 의미함.
13,므르복,MERBOK,종료,없음,2022.09.12 09:00,2022.09.15 15:00,제13호 태풍 므르복(MERBOK)은 말레이시아에서 제출한 이름으로 점박이목 비둘기를 의미함.
